2993,10387,12287,9367,2357
8172,12195,7596,8324,4930
7526,88,10520,4894,10532
11013,9393,223,13621,3044
11013,9393,223,13621,3044
9271,12417,11820,11170,4900
2860,3777,426,11399,1769
7526,14375,3588,1092,14492
4929,97,2046,7800,7062
7437,11521,11337,4175,9529
7526,88,9613,14492,14375
2328,3253,1718,6084,12442
11927,2695,11232,927,1309
13366,5530,6789,1309,4824
1230,9686,3403,9708,13909
7960,12942,11449,11051,13938
5957,14156,7918,3759,2931
11663,11788,8025,5593,13109
4919,7526,1790,4894,102
4919,7526,1790,4894,102
8411,4966,9354,890,3871
10558,10167,11895,911,5331
4894,7526,10520,13667,14492
14107,5113,1989,286,5935
14107,5113,1989,286,5935
6108,2351,6516,950,2798
2605,1309,13748,9834,10520
7526,10520,9686,2771,3588
1230,3795,9686,200,9708
6479,3019,12011,8594,2721
12547,2342,10223,8630,3391
890,3871,8411,9354,9397
6469,5165,2328,10295,9881
3277,11663,13109,611,6159
3277,11663,13109,611,6159
9155,4374,5921,1309,8763
8943,8276,12947,9287,2425
8943,8276,12947,9287,2425
13809,6381,9958,2906,10996
1007,14059,4363,3296,1230
7526,88,10520,9613,4894
5601,10002,1867,10661,3311
5700,2660,9991,13927,9580
4992,5730,12844,7305,12085
4992,5730,12844,7305,12085
5957,11809,11218,14059,3739
1309,2024,7569,506,12416
11690,4009,13151,13007,13946
9686,6428,13574,1814,8076
12289,208,6812,4900,2425
12417,6784,2736,9271,6159
3658,8929,14060,5878,14310
5676,6911,1575,3649,5582
5340,276,13182,8285,4631
3417,8052,5770,12777,8831
3795,9686,1230,12503,12428
8145,11898,14482,2588,690
6084,13599,8763,11728,904
10926,6399,5650,3431,9210
10307,1451,9937,8246,2924
1309,9155,4374,506,310
5617,7055,6586,11771,2858
8916,10583,4379,4475,8286
2058,6900,4012,8594,8061
10863,4537,1566,10628,7285
3277,8730,5387,3003,11663
3082,13175,6490,8851,2415
6442,3082,7526,14492,12252
5647,7555,12684,1348,11035
13599,14388,1309,9155,2985
12397,611,12417,1421,5594
2854,7526,1856,9886,4157
9709,10598,736,99,11701
7526,88,9613,14492,13667
10166,1719,14480,13306,9974
10166,1719,14480,13306,9974
8255,11527,7847,5819,1502
1629,10693,5726,8314,2036
8500,11966,7204,13708,13585
6379,6922,1472,4626,1170
13652,5617,6163,738,84
5322,9834,5329,192,13985
1309,4522,7569,12416,1625
11166,6176,13812,6702,3472
1348,12684,9488,6289,5156
1309,1625,12416,7569,9155
12299,8249,1088,8509,12106
8172,11735,7306,5658,12315
7526,88,1794,8442,3295
5047,14360,12641,3319,11683
8432,6922,11216,13372,12123
7526,1430,12405,13279,3795
4139,12392,6435,853,2597
3318,12166,536,162,3082
8916,5592,8800,7911,3358
8916,5592,8800,7911,3358
6789,13366,5530,4824,6106
10558,11895,4950,10167,11679
528,7305,9940,6872,4894
